PatientKontext;Patientidentifikator;Nachname;Vorname;Geburtsname;Geschlecht;Geburtsdatum;Wohnort;PLZ;PatientVerstorben;Todeszeitpunkt;Informationsquelle;LetzterLebendZeitpunkt;IKVersicherung;Versichertennummer
260123452_Bapu;P_0000075;Schmitts_79;Grete;Schmitts_79;w;1953-04-16;Ort_825;13763;nein;;P21;2020-04-07 17:00:00;BKK_800;8002000075
260123452_Bapu;P_0000076;Schmitts_17;Grete;Schmitts_17;w;1944-12-16;Ort_879;87953;nein;;P21;2020-10-19 17:00:00;BKK_800;8002000076
260123452_Bapu;P_0000077;Müllers_13;Hans;Müllers_13;m;1947-07-16;Ort_437;43761;nein;;P21;2020-03-23 17:00:00;BAR_400;4002000077
260123452_Bapu;P_0000078;Schulzen_12;Hans;Schulzen_12;m;1982-12-16;Ort_839;83967;nein;;P21;2020-12-28 17:00:00;BKK_800;8002000078
260123452_Bapu;P_0000079;Schulzen_19;Grete;Schulzen_19;w;1979-07-16;Ort_689;40668;nein;;P21;2020-05-28 17:00:00;AOK_600;6002000079
260123452_Bapu;P_0000080;Müllers_15;Grete;Müllers_15;w;1962-07-01;Ort_437;43761;nein;;P21;2020-01-11 17:00:00;BAR_400;4002000080
260123452_Bapu;P_0000081;Müllers_67;Grete;Meyerson_52;w;1996-12-01;Ort_839;83969;nein;;P21;2020-09-15 17:00:00;BKK_800;8002000081
260123452_Bapu;P_0000082;Schmitts_13;Hans;Schmitts_13;m;1936-04-01;Ort_037;13764;nein;;P21;2020-07-13 17:00:00;TKK_900;9002000082
260123452_Bapu;P_0000083;Schulzen_51;Grete;Schmitts_70;w;1965-01-01;Ort_237;23761;nein;;P21;2020-10-18 17:00:00;AOK_100;1002000083
260123452_Bapu;P_0000084;Meyerson_86;Hans;Müllers_10;m;1984-04-01;Ort_376;37659;nein;;P21;2020-05-18 17:00:00;AOK_300;3002000084
260123452_Bapu;P_0000085;Schmitts_11;Grete;Schmitts_11;w;2009-04-16;Ort_038;13864;nein;;P21;2020-09-27 17:00:00;TKK_900;9002000085
260123452_Bapu;P_0000086;Müllers_36;Grete;Schmitts_95;w;1986-12-16;Ort_879;87952;nein;;P21;2020-03-01 17:00:00;BKK_800;8002000086
260123452_Bapu;P_0000087;Müllers_17;Grete;Schmitts_17;w;1982-10-16;Ort_637;63762;nein;;P21;2020-05-27 17:00:00;AOK_600;6002000087
260123452_Bapu;P_0000088;Müllers_31;Hans;Meyerson_66;m;1987-12-16;Ort_878;87855;nein;;P21;2020-08-11 17:00:00;BKK_800;8002000088
260123452_Bapu;P_0000089;Müllers_11;Grete;Schmitts_11;w;1939-12-16;Ort_837;83762;nein;;P21;2020-05-19 17:00:00;BKK_800;8002000089
260123452_Bapu;P_0000090;Müllers_12;Hans;Schmitts_12;m;1989-04-01;Ort_037;13762;nein;;P21;2020-04-22 17:00:00;TKK_900;9002000090
260123452_Bapu;P_0000091;Müllers_11;Hans;Müllers_11;m;2019-01-01;Ort_237;23760;nein;;P21;2020-11-21 17:00:00;AOK_100;1002000091
260123452_Bapu;P_0000092;Müllers_77;Grete;Schulzen_99;w;2007-12-01;Ort_437;87857;nein;;P21;2020-08-01 17:00:00;BAR_400;4002000092
260123452_Bapu;P_0000093;Schulzen_21;Grete;Schulzen_21;w;2006-12-01;Ort_485;87857;nein;;P21;2020-07-24 17:00:00;BAR_400;4002000093
260123452_Bapu;P_0000094;Schmitts_23;Hans;Schulzen_23;m;2019-12-01;Ort_878;87957;nein;;P21;2020-10-19 17:00:00;BKK_800;8002000094
260123452_Bapu;P_0000095;Schmitts_75;Grete;Schmitts_75;w;1970-12-16;Ort_879;87953;nein;;P21;2020-01-24 17:00:00;BKK_800;8002000095
260123452_Bapu;P_0000096;Meyerson_67;Hans;Schulzen_67;m;2018-04-16;Ort_037;13766;nein;;P21;2020-08-19 17:00:00;TKK_900;9002000096
260123452_Bapu;P_0000097;Müllers_10;Hans;Schmitts_10;m;1968-04-16;Ort_038;13860;nein;;P21;2020-08-02 17:00:00;TKK_900;9002000097
260123452_Bapu;P_0000098;Schulzen_23;Hans;Schulzen_23;m;1967-01-16;Ort_237;23766;nein;;P21;2020-10-06 17:00:00;AOK_100;1002000098
260123452_Bapu;P_0000099;Müllers_20;Hans;Müllers_20;m;1956-07-16;Ort_646;43769;nein;;P21;2020-04-23 17:00:00;AOK_600;6002000099
260123452_Bapu;P_0000100;Müllers_17;Hans;Schmitts_17;m;1989-01-01;Ort_851;23762;nein;;P21;2020-02-21 17:00:00;BKK_800;8002000100
260123452_Bapu;P_0000101;Schmitts_56;Grete;Schulzen_56;w;2019-04-01;Ort_446;37650;nein;;P21;2020-07-09 17:00:00;BAR_400;4002000101
260123452_Bapu;P_0000102;Meyerson_69;Grete;Schulzen_69;w;2008-12-01;Ort_437;87857;nein;;P21;2020-11-21 17:00:00;BAR_400;4002000102
260123452_Bapu;P_0000103;Müllers_38;Grete;Müllers_46;w;1937-12-01;Ort_837;83761;nein;;P21;2020-11-08 17:00:00;BKK_800;8002000103
260123452_Bapu;P_0000104;Schmitts_17;Hans;Schmitts_17;m;1950-10-01;Ort_637;63763;nein;;P21;2020-01-09 17:00:00;AOK_600;6002000104
260123452_Bapu;P_0000105;Meyerson_27;Grete;Müllers_66;w;1959-12-16;Ort_879;87951;nein;;P21;2020-03-15 17:00:00;BKK_800;8002000105
260123452_Bapu;P_0000106;Schmitts_13;Hans;Schmitts_13;m;1990-12-16;Ort_846;84663;nein;;P21;2020-05-21 17:00:00;BKK_800;8002000106
260123452_Bapu;P_0000107;Schulzen_10;Hans;Meyerson_10;m;2014-04-16;Ort_037;13768;nein;;P21;2020-06-18 17:00:00;TKK_900;9002000107
260123452_Bapu;P_0000108;Schulzen_62;Hans;Schulzen_19;m;2012-10-16;Ort_839;05666;nein;;P21;2020-10-13 17:00:00;BKK_800;8002000108
260123452_Bapu;P_0000109;Schulzen_22;Hans;Schulzen_22;m;1971-12-16;Ort_837;83766;nein;;P21;2020-02-19 17:00:00;BKK_800;8002000109
260123452_Bapu;P_0000110;Schmitts_22;Grete;Schulzen_22;w;1938-04-01;Ort_038;13865;nein;;P21;2020-08-22 17:00:00;TKK_900;9002000110
260123452_Bapu;P_0000111;Schulzen_14;Hans;Meyerson_14;m;1959-04-01;Ort_038;13866;nein;;P21;2020-10-17 17:00:00;TKK_900;9002000111
260123452_Bapu;P_0000112;Schulzen_11;Grete;Meyerson_11;w;2008-04-01;Ort_038;13866;nein;;P21;2020-02-08 17:00:00;TKK_900;9002000112
260123452_Bapu;P_0000113;Schmitts_38;Hans;Müllers_29;m;1975-12-01;Ort_837;83765;nein;;P21;2020-12-22 17:00:00;BKK_800;8002000113
260123452_Bapu;P_0000114;Schmitts_25;Hans;Müllers_25;m;1936-12-01;Ort_837;83765;nein;;P21;2020-11-12 17:00:00;BKK_800;8002000114
260123452_Bapu;P_0000115;Schulzen_13;Grete;Schulzen_13;w;1949-04-16;Ort_038;13866;nein;;P21;2020-09-10 17:00:00;TKK_900;9002000115
260123452_Bapu;P_0000116;Schmitts_18;Grete;Schulzen_18;w;1958-10-16;Ort_637;63765;nein;;P21;2020-01-20 17:00:00;AOK_600;6002000116
260123452_Bapu;P_0000117;Schulzen_21;Hans;Meyerson_21;m;2013-10-16;Ort_637;63768;nein;;P21;2020-10-22 17:00:00;AOK_600;6002000117
260123452_Bapu;P_0000118;Schmitts_17;Hans;Müllers_17;m;1951-12-16;Ort_837;83765;nein;;P21;2020-01-18 17:00:00;BKK_800;8002000118
260123452_Bapu;P_0000119;Schulzen_13;Grete;Schulzen_13;w;1934-04-16;Ort_037;13767;nein;;P21;2020-07-24 17:00:00;TKK_900;9002000119
260123452_Bapu;P_0000000;Meyerson_97;Grete;Schmitts_21;w;1981-10-01;Ort_250;66952;nein;;P21;2020-10-13 17:00:00;AOK_100;1002000000
260123452_Bapu;P_0000001;Schmitts_19;Grete;Schmitts_19;w;1984-12-01;Ort_837;83763;nein;;P21;2020-04-24 17:00:00;BKK_800;8002000001
260123452_Bapu;P_0000002;Schmitts_16;Hans;Schmitts_16;m;1991-01-01;Ort_262;20669;nein;;P21;2020-01-15 17:00:00;AOK_100;1002000002
260123452_Bapu;P_0000003;Müllers_24;Grete;Schmitts_24;w;1953-07-01;Ort_878;43760;nein;;P21;2020-11-28 17:00:00;BKK_800;8002000003
260123452_Bapu;P_0000004;Schmitts_13;Grete;Schmitts_13;w;1945-01-01;Ort_237;23763;nein;;P21;2020-03-28 17:00:00;AOK_100;1002000004
260123452_Bapu;P_0000005;Müllers_49;Grete;Schmitts_29;w;1954-12-16;Ort_837;83762;nein;;P21;2020-02-28 17:00:00;BKK_800;8002000005
260123452_Bapu;P_0000006;Schmitts_22;Grete;Schmitts_22;w;1961-04-16;Ort_037;13763;nein;;P21;2020-08-18 17:00:00;TKK_900;9002000006
